TK,ΠΕΡΙΟΧΗ,ΧΩΡΑ,ΠΟΛΗ,ΝΟΜΟΣ
26332,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26333,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26334,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26335,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26441,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26442,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26443,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26444,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26504,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
25014,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΛΑΤΑΝΟΣ,ΑΧΑΪΑ
26500,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΡΙΟ,ΑΧΑΪΑ
25005,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΣΑΓΑΙΙΚΑ,ΑΧΑΪΑ
25008,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΧΑΛΑΝΔΡΙΤΣΑ,ΑΧΑΪΑ
13671,ΑΧΑΡΝΕΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13672,ΑΧΑΡΝΕΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13673,ΑΧΑΡΝΕΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13674,ΑΧΑΡΝΕΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13675,ΑΧΑΡΝΕΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13676,ΑΧΑΡΝΕΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13677,ΑΧΑΡΝΕΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
54629,ΒΑΡΔΑΡΗΣ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
16672,ΒΑΡΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
19012,ΒΙΛΙΑ,ΕΛΛΑΣ,ΒΙΛΙΑ,ΒΟΙΩΤΙΑ
32007,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,ΒΟΙΩΤΙΑ
32001,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΑΛΙΑΡΤΟΣ,ΒΟΙΩΤΙΑ
32012,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΑΝΤΙΚΥΡΑ,ΒΟΙΩΤΙΑ
32004,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΑΡΑΧΩΒΑ,ΒΟΙΩΤΙΑ
32002,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΒΑΓΙΑ,ΒΟΙΩΤΙΑ
32008,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΔΑΥΛΕΙΑ,ΒΟΙΩΤΙΑ
32005,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΔΙΣΤΟΜΟ,ΒΟΙΩΤΙΑ
32010,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΔΟΜΒΡΑΙΝΑ,ΒΟΙΩΤΙΑ
32200,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΘΗΒΑ,ΒΟΙΩΤΙΑ
32006,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΚΥΡΙΑΚΙ,ΒΟΙΩΤΙΑ
32100,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΛΕΙΒΑΔΙΑ,ΒΟΙΩΤΙΑ
32011,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΟΙΝΟΦΥΤΑ,ΒΟΙΩΤΙΑ
32300,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΟΡΧΟΜΕΝΟΣ,ΒΟΙΩΤΙΑ
32003,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΠΑΡΑΛΙΑ ΔΙΣΤΟΜΟΥ,ΒΟΙΩΤΙΑ
32009,ΒΟΙΩΤΙΑΣ,ΕΛΛΑΣ,ΣΧΗΜΑΤΑΡΙ,ΒΟΙΩΤΙΑ
16673,ΒΟΥΛΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16671,ΒΟΥΛΙΑΓΜΕΝΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15235,ΒΡΙΛΗΣΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16231,ΒΥΡΩΝΑΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16232,ΒΥΡΩΝΑΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16233,ΒΥΡΩΝΑΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11146,ΓΑΛΑΤΣΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11147,ΓΑΛΑΤΣΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15344,ΓΕΡΑΚΑΣ,ΕΛΛΑΣ,ΓΕΡΑΚΑΣ,ΑΤΤΙΚΗ
57011,ΓΕΦΥΡΑ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
11473,ΓΚΥΖΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11474,ΓΚΥΖΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11475,ΓΚΥΖΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15344,ΓΛΥΚΑ ΝΕΡΑ,ΕΛΛΑΣ,ΓΛΥΚΑ ΝΕΡΑ,ΑΤΤΙΚΗ
15354,ΓΛΥΚΑ ΝΕΡΑ,ΕΛΛΑΣ,ΓΛΥΚΑ ΝΕΡΑ,ΑΤΤΙΚΗ
16561,ΓΛΥΦΑΔΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16562,ΓΛΥΦΑΔΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16674,ΓΛΥΦΑΔΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16675,ΓΛΥΦΑΔΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
51030,ΓΡΕΒΕΝΩΝ,ΕΛΛΑΣ,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,ΓΡΕΒΕΝΑ
51100,ΓΡΕΒΕΝΩΝ,ΕΛΛΑΣ,ΓΡΕΒΕΝΑ,ΓΡΕΒΕΝΑ
51200,ΓΡΕΒΕΝΩΝ,ΕΛΛΑΣ,ΔΕΣΚΑΤΗ,ΓΡΕΒΕΝΑ
51031,ΓΡΕΒΕΝΩΝ,ΕΛΛΑΣ,ΚΗΠΟΥΡΕΙΟ,ΓΡΕΒΕΝΑ
51032,ΓΡΕΒΕΝΩΝ,ΕΛΛΑΣ,ΠΟΛΥΝΕΡΙ,ΓΡΕΒΕΝΑ
17234,ΔΑΦΝΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
17235,ΔΑΦΝΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
17237,ΔΑΦΝΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
54500,ΔΕΡΒΕΝΙ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
54621,ΔΙΑΓΩΝΙΟΣ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
14576,ΔΙΟΝΥΣΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
66300,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΔΟΞΑΤΟ,ΔΡΑΜΑ
66100,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΔΡΑΜΑ,ΔΡΑΜΑ
66031,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΚΑΛΑΜΠΑΚΙ,ΔΡΑΜΑ
66033,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙ,ΔΡΑΜΑ
66032,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΚΥΡΙΑ,ΔΡΑΜΑ
66036,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΜΙΚΡΟΠΟΛΗ,ΔΡΑΜΑ
66037,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΝΙΚΗΦΟΡΟΣ,ΔΡΑΜΑ
66035,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΠΑΡΑΝΕΣΤΙ,ΔΡΑΜΑ
66200,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΠΡΟΣΟΤΣΑΝΗ,ΔΡΑΜΑ
66038,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΣΙΔΗΡΟΝΕΡΟ,ΔΡΑΜΑ
66034,ΔΡΑΜΑΣ,ΕΛΛΑΣ,ΦΩΤΟΛΙΒΟΣ,ΔΡΑΜΑ
18648,ΔΡΑΠΕΤΣΩΝΑ,ΕΛΛΑΣ,ΠΕΙΡΑΙΑΣ,ΑΤΤΙΚΗ
14572,ΔΡΟΣΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
54500,ΔΡΥΜΟΣ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
68011,ΕΒΡΟΥ,ΕΛΛΑΣ,ΑΙΣΥΜΗ,ΕΒΡΟΣ
68100,ΕΒΡΟΥ,ΕΛΛΑΣ,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΕΒΡΟΣ
68012,ΕΒΡΟΥ,ΕΛΛΑΣ,ΓΕΦΥΡΑ ΚΗΠΩΝ,ΕΒΡΟΣ
68300,ΕΒΡΟΥ,ΕΛΛΑΣ,ΔΙΔΥΜΟΤΕΙΧΟ,ΕΒΡΟΣ
68007,ΕΒΡΟΥ,ΕΛΛΑΣ,ΔΙΚΑΙΑ,ΕΒΡΟΣ
68008,ΕΒΡΟΥ,ΕΛΛΑΣ,ΚΑΣΤΑΝΙΕΣ ΕΒΡΟΥ,ΕΒΡΟΣ
68006,ΕΒΡΟΥ,ΕΛΛΑΣ,ΚΥΠΡΙΝΟΣ,ΕΒΡΟΣ
68004,ΕΒΡΟΥ,ΕΛΛΑΣ,ΛΑΒΑΡΑ,ΕΒΡΟΣ
68010,ΕΒΡΟΥ,ΕΛΛΑΣ,ΜΕΤΑΞΑΔΕΣ,ΕΒΡΟΣ
68005,ΕΒΡΟΥ,ΕΛΛΑΣ,ΜΙΚΡΟ ΔΕΡΕΙΟ,ΕΒΡΟΣ
68001,ΕΒΡΟΥ,ΕΛΛΑΣ,ΝΕΑ ΒΥΣΣΑ,ΕΒΡΟΣ
68200,ΕΒΡΟΥ,ΕΛΛΑΣ,ΟΡΕΣΤΙΑΔΑ,ΕΒΡΟΣ
68013,ΕΒΡΟΥ,ΕΛΛΑΣ,ΠΕΠΛΟΣ,ΕΒΡΟΣ
68014,ΕΒΡΟΥ,ΕΛΛΑΣ,ΡΙΖΙΑ,ΕΒΡΟΣ
68009,ΕΒΡΟΥ,ΕΛΛΑΣ,Σ. Σ. ΠΥΘΙΟΥ,ΕΒΡΟΣ
68002,ΕΒΡΟΥ,ΕΛΛΑΣ,ΣΑΜΟΘΡΑΚΗ,ΕΒΡΟΣ
69300,ΕΒΡΟΥ,ΕΛΛΑΣ,ΣΑΠΕΣ,ΕΒΡΟΣ
68400,ΕΒΡΟΥ,ΕΛΛΑΣ,ΣΟΥΦΛΙ,ΕΒΡΟΣ
68003,ΕΒΡΟΥ,ΕΛΛΑΣ,ΤΥΧΕΡΟ,ΕΒΡΟΣ
68500,ΕΒΡΟΥ,ΕΛΛΑΣ,ΦΕΡΕΣ,ΕΒΡΟΣ
14578,ΕΚΑΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
56334,ΕΛΕΥΘΕΡΙΟ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
19200,ΕΛΕΥΣΙΝΑ,ΕΛΛΑΣ,ΕΛΕΥΣΙΝΑ,ΑΤΤΙΚΗ
54500,ΕΛΙΑ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
16777,ΕΛΛΗΝΙΚΟ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
10680,ΕΞΑΡΧΕΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
10681,ΕΞΑΡΧΕΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
10682,ΕΞΑΡΧΕΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
10683,ΕΞΑΡΧΕΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
57500,ΕΠΑΝΟΜΗ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
19008,ΕΡΥΘΡΕΣ,ΕΛΛΑΣ,ΕΡΥΘΡΕΣ,ΑΤΤΙΚΗ
18532,ΕΥΑΓΓΕΛΙΣΤΡΙΑ,ΕΛΛΑΣ,ΠΕΙΡΑΙΑΣ,ΑΤΤΙΚΗ
34010,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΑΓΙΑ ΑΝΝΑ,ΕΥΒΟΙΑ
34003,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑ
34500,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑ
34006,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΑΜΑΡΥΝΘΟΣ,ΕΥΒΟΙΑ
34009,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΑΥΛΩΝΑΡΙ,ΕΥΒΟΙΑ
34002,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΒΑΣΙΛΙΚΟ,ΕΥΒΟΙΑ
34008,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΕΡΕΤΡΙΑ,ΕΥΒΟΙΑ
34200,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΙΣΤΙΑΙΑ,ΕΥΒΟΙΑ
34018,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΚΑΘΕΝΟΙ,ΕΥΒΟΙΑ
34019,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΚΑΛΗΜΕΡΙΑΝΟΙ,ΕΥΒΟΙΑ
34001,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΚΑΡΥΣΤΟΣ,ΕΥΒΟΙΑ
34016,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΚΟΝΙΣΤΡΕΣ,ΕΥΒΟΙΑ
34017,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΚΡΙΕΖΑ,ΕΥΒΟΙΑ
34003,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΚΥΜΗ,ΕΥΒΟΙΑ
34005,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΛΙΜΝΗ,ΕΥΒΟΙΑ
34300,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΛΟΥΤΡΑ ΑΙΔΗΨΟΥ,ΕΥΒΟΙΑ
34004,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΜΑΝΤΟΥΔΙ,ΕΥΒΟΙΑ
34013,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΜΑΡΜΑΡΙ,ΕΥΒΟΙΑ
34600,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΝΕΑ ΑΡΤΑΚΗ,ΕΥΒΟΙΑ
34011,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΟΞΥΛΙΘΟΣ,ΕΥΒΟΙΑ
34007,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΣΚΥΡΟΣ,ΕΥΒΟΙΑ
34014,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΣΤΕΝΗ,ΕΥΒΟΙΑ
34015,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΣΤΥΡΑ,ΕΥΒΟΙΑ
34100,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΧΑΛΚΙΔΑ,ΕΥΒΟΙΑ
34400,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΨΑΧΝΑ,ΕΥΒΟΙΑ
34012,ΕΥΒΟΙΑΣ,ΕΛΛΑΣ,ΩΡΕΟΙ,ΕΥΒΟΙΑ
56224,ΕΥΟΣΜΟΣ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
36081,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΑΓΙΑ ΤΡΙΑΔΑ ΕΥΡΥΤ.,ΕΥΡΥΤΑΝΙΑ
36073,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΑΓΡΑΦΑ,ΕΥΡΥΤΑΝΙΑ
36072,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΓΡΑΝΙΤΣΑ,ΕΥΡΥΤΑΝΙΑ
36100,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΚΑΡΠΕΝΗΣΙ,ΕΥΡΥΤΑΝΙΑ
36071,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΚΕΡΑΣΟΧΩΡΙ,ΕΥΡΥΤΑΝΙΑ
36076,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΚΡΙΚΕΛΛΟ,ΕΥΡΥΤΑΝΙΑ
36075,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΜΕΓΑΛΟ ΧΩΡΙΟ,ΕΥΡΥΤΑΝΙΑ
36074,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΠΡΟΥΣΟΣ,ΕΥΡΥΤΑΝΙΑ
36070,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΡΑΠΤΟΠΟΥΛΟ,ΕΥΡΥΤΑΝΙΑ
36080,ΕΥΡΥΤΑΝΙΑΣ,ΕΛΛΑΣ,ΦΟΥΡΝΑ,ΕΥΡΥΤΑΝΙΑ
57012,ΖΑΓΚΛΙΒΕΡΙ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
29091,ΖΑΚΥΝΘΟΣ,ΕΛΛΑΣ,ΒΟΛΙΜΕΣ,ΖΑΚΥΝΘΟΣ
29100,ΖΑΚΥΝΘΟΣ,ΕΛΛΑΣ,ΖΑΚΥΝΘΟΣ,ΖΑΚΥΝΘΟΣ
29090,ΖΑΚΥΝΘΟΣ,ΕΛΛΑΣ,ΚΑΤΑΣΤΑΡΙ,ΖΑΚΥΝΘΟΣ
29092,ΖΑΚΥΝΘΟΣ,ΕΛΛΑΣ,ΜΑΧΑΙΡΑΔΟ,ΖΑΚΥΝΘΟΣ
13501,ΖΕΦΥΡΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15771,ΖΩΓΡΑΦΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15772,ΖΩΓΡΑΦΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
15773,ΖΩΓΡΑΦΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
27200,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑ
27051,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΑΝΔΡΑΒΙΔΑ,ΗΛΕΙΑ
27061,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΑΝΔΡΙΤΣΑΙΝΑ,ΗΛΕΙΑ
27065,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΑΡΧΑΙΑ ΟΛΥΜΠΙΑ,ΗΛΕΙΑ
27050,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΒΑΡΘΟΛΟΜΙΟ,ΗΛΕΙΑ
27300,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΓΑΣΤΟΥΝΗ,ΗΛΕΙΑ
27058,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΕΠΙΤΑΛΙΟ,ΗΛΕΙΑ
27069,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΕΦΥΡΑ,ΗΛΕΙΑ
27054,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΖΑΧΑΡΩ,ΗΛΕΙΑ
27062,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΚΑΛΛΙΘΕΑ,ΗΛΕΙΑ
27064,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΚΑΡΑΤΟΥΛΑ,ΗΛΕΙΑ
27067,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΚΑΤΑΚΟΛΟ,ΗΛΕΙΑ
27055,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΚΡΕΣΤΕΝΑ,ΗΛΕΙΑ
27068,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΚΥΛΛΗΝΗ,ΗΛΕΙΑ
27066,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΛΑΛΑΣ,ΗΛΕΙΑ
27063,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΛΑΜΠΕΙΑ,ΗΛΕΙΑ
27053,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΛΕΧΑΙΝΑ,ΗΛΕΙΑ
27056,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΝΕΑ ΦΙΓΑΛΕΙΑ,ΗΛΕΙΑ
27060,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΠΕΛΟΠΙΟ,ΗΛΕΙΑ
27100,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΠΥΡΓΟΣ,ΗΛΕΙΑ
27052,ΗΛΕΙΑΣ,ΕΛΛΑΣ,Σ. Σ. ΒΑΡΔΑΣ,ΗΛΕΙΑ
27057,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΤΡΑΓΑΝΟ,ΗΛΕΙΑ
27059,ΗΛΕΙΑΣ,ΕΛΛΑΣ,ΧΑΒΑΡΙ,ΗΛΕΙΑ
16341,ΗΛΙΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16342,ΗΛΙΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16343,ΗΛΙΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16344,ΗΛΙΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16345,ΗΛΙΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16346,ΗΛΙΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
59300,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,ΑΛΕΞΑΝΔΡΕΙΑ,ΗΜΑΘΙΑ
59100,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,ΒΕΡΟΙΑ,ΗΜΑΘΙΑ
59034,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,ΕΙΡΗΝΟΥΠΟΛΗ,ΗΜΑΘΙΑ
59035,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,ΚΟΠΑΝΟΣ,ΗΜΑΘΙΑ
59033,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,ΜΑΚΡΟΧΩΡΙ ΗΜΑΘΙΑΣ,ΗΜΑΘΙΑ
59031,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,ΜΕΛΙΚΗ,ΗΜΑΘΙΑ
59200,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,ΝΑΟΥΣΑ,ΗΜΑΘΙΑ
59032,ΗΜΑΘΙΑΣ,ΕΛΛΑΣ,Σ. Σ. ΠΛΑΤΕΟΣ,ΗΜΑΘΙΑ
64004,ΘΑΣΟΣ,ΕΛΛΑΣ,ΘΑΣΟΣ,ΚΑΒΑΛΑ
64005,ΘΑΣΟΣ,ΕΛΛΑΣ,ΘΕΟΛΟΓΟΣ,ΚΑΒΑΛΑ
64002,ΘΑΣΟΣ,ΕΛΛΑΣ,ΛΙΜΕΝΑΡΙΑ,ΚΑΒΑΛΑ
64004,ΘΑΣΟΣ,ΕΛΛΑΣ,ΠΡΙΝΟΣ,ΚΑΒΑΛΑ
57001,ΘΕΡΜΗ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
46032,ΘΕΣΠΡΩΤΙΑΣ,ΕΛΛΑΣ,ΑΓΙΟΙ ΠΑΝΤΕΣ,ΘΕΣΠΡΩΤΙΑ
46031,ΘΕΣΠΡΩΤΙΑΣ,ΕΛΛΑΣ,ΓΛΥΚΗ,ΘΕΣΠΡΩΤΙΑ
46100,ΘΕΣΠΡΩΤΙΑΣ,ΕΛΛΑΣ,ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑ
46033,ΘΕΣΠΡΩΤΙΑΣ,ΕΛΛΑΣ,ΚΕΡΑΜΙΤΣΑ,ΘΕΣΠΡΩΤΙΑ
46030,ΘΕΣΠΡΩΤΙΑΣ,ΕΛΛΑΣ,ΜΑΡΓΑΡΙΤΙ,ΘΕΣΠΡΩΤΙΑ
46200,ΘΕΣΠΡΩΤΙΑΣ,ΕΛΛΑΣ,ΠΑΡΑΜΥΘΙΑ,ΘΕΣΠΡΩΤΙΑ
